block,pool,k,actors,omegaNorm2,gradFrac,rho,curlFrac,harmonicFrac,scalarCurlFrac,perms,vspreadWei
102624332,0xE0C3..7B69,3,2.0,1050957536308840004266586275840,0.6667,0.6667,0.3333,0.0,0.6667,,
102624439,0xd504..2D42,5,5.0,52350340000000002490368,1.0,1.0,0.0,0.0,0.0,,
102624447,0x222C..4BE3,3,3.0,86692155653366656,0.9334,0.9334,0.0666,0.0,0.0668,,
102624459,WBNB/USDT,3,7.0,102184643128414821154816,1.0,1.0,0.0,0.0,0.0859,,
102624470,0xBaf0..5280,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624486,0xc1d0..ea6d,8,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624487,0xc1d0..ea6d,3,4.0,866981608991115328880640,1.0,1.0,0.0,0.0,0.0,,
102624489,0xc1d0..ea6d,4,7.0,1643150181502546840656589881344,0.8062,0.8062,0.1938,0.0,0.1919,,
102624496,0x75D9..f50c,4,7.0,10843994730593802780672,0.5549,0.5549,0.4451,0.0,0.0074,,
102624496,0x8431..0034,3,7.0,94006069349563299442619926462857216,0.6653,0.6653,0.3347,0.0,0.3336,,
102624502,0x222C..4BE3,3,4.0,20714488441864840452014866432,0.956,0.956,0.044,0.0,0.0441,,
102624515,0xc1d0..ea6d,5,6.0,22135324811931284406272,1.0,1.0,0.0,0.0,0.0,,
102624516,0xc1d0..ea6d,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624520,0xd504..2D42,5,8.0,4,0.75,0.75,0.0,0.0,0.0,,
102624523,0xc1d0..ea6d,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624526,WBNB/USDT,3,4.0,549571280000000028835840,1.0,1.0,0.0,0.0,0.0,,
102624559,0xd504..2D42,3,3.0,261741054644788416,0.9944,0.9944,0.0056,0.0,0.0056,,
102624568,0xc231..4EdA,7,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624575,0xf4D1..2522,4,8.0,117936625317771698280960668746121216,0.3538,0.3538,0.6462,0.0,0.0,,
102624576,0xf4D1..2522,4,6.0,80322614088126245433444135031799808,0.75,0.75,0.25,0.0,0.0,,
102624577,0xf4D1..2522,7,9.0,9469808216639999776886095872,0.7143,0.7143,0.2857,0.0,0.0,,
102624578,0xf4D1..2522,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624581,0xf4D1..2522,4,7.0,498904073709699516442732069388288,0.6044,0.6044,0.3956,0.0,0.4052,,
102624586,0x222C..4BE3,3,3.0,3232357016523694407680,0.9882,0.9882,0.0118,0.0,0.0126,,
102624595,0x222C..4BE3,3,3.0,1805647314490952253440,0.8951,0.8951,0.1049,0.0,0.1058,,
102624599,0xf4D1..2522,3,5.0,4639434831723655188832352993280,1.0,1.0,0.0,0.0,0.0,,
102624602,0xf4D1..2522,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624640,0xf4D1..2522,3,7.0,23200752216449643863605248,1.0,1.0,0.0,0.0,0.0,,
102624660,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624661,0xbC42..Efa5,4,10.0,2900602733129745945363566410250321920,0.9618,0.9618,0.0382,0.0,0.4999,,
102624677,0x47a9..10c4,3,7.0,233528264142335743361024,0.6662,0.6662,0.3338,0.0,0.3338,,
102624698,0x222C..4BE3,4,4.0,36967883911328329277389899038720,0.9945,0.9945,0.0055,0.0,0.0056,,
102624719,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624734,0xc1d0..ea6d,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624744,0x222C..4BE3,3,3.0,167274786873545646210660723326976,0.9841,0.9841,0.0159,0.0,0.0161,,
102624754,0xc1d0..ea6d,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624757,0xc1d0..ea6d,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624761,0xc1d0..ea6d,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624763,0x0033..0D43,4,4.0,8720576419353932093536545538048,0.9756,0.9756,0.0244,0.0,0.0246,,
102624787,0xd504..2D42,5,6.0,1,0.0,0.0,0.0,0.0,0.3333,,
102624799,0x222C..4BE3,4,4.0,66534517867123334411622567571881984,0.9992,0.9992,0.0008,0.0,0.0028,,
102624802,0x0033..0D43,3,3.0,2388188914153546531520768901120,0.9859,0.9859,0.0141,0.0,0.0139,,
102624809,0x222C..4BE3,4,4.0,137570088952383011581965683916800,0.6491,0.6491,0.3509,0.0,0.3522,,
102624839,0xf4D1..2522,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624854,0x0033..0D43,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102624883,0x222C..4BE3,3,3.0,308913774608471818240,1.0,1.0,0.0,0.0,0.0,,
102624891,0xA19d..c83e,7,8.0,109914256000000022544384,1.0,1.0,0.0,0.0,0.0,,
102624892,0x222C..4BE3,3,3.0,2474354827380793540608,0.9039,0.9039,0.0961,0.0,0.0979,,
102624902,0xbC42..Efa5,3,8.0,6802918171763611457059553280,0.7137,0.7137,0.2863,0.0,0.299,,
102624920,0x222C..4BE3,4,4.0,7045663764240002345834595221504,0.9709,0.9709,0.0291,0.0,0.0291,,
102624933,0xAFB7..ea3b,3,3.0,407099087565717785958831620096,0.7957,0.7957,0.2043,0.0,0.2044,,
102624934,0x222C..4BE3,4,4.0,20158418320484166224838656,0.9338,0.9338,0.0662,0.0,0.1,,
102624964,0x9191..E0eF,3,7.0,497536587516996826588686218952704,1.0,1.0,0.0,0.0,0.3333,,
102624972,0x0033..0D43,3,3.0,4503189070472004239360,0.9577,0.9577,0.0423,0.0,0.0447,,
102624979,0xAFB7..ea3b,3,3.0,853287767516972056576,1.0,1.0,0.0,0.0,0.0,,
102625004,0x0033..0D43,3,3.0,1783358075137343281137530699776,0.8918,0.8918,0.1082,0.0,0.1098,,
102625010,0xAFB7..ea3b,4,4.0,120856806848559120384,0.9682,0.9682,0.0318,0.0,0.033,,
102625020,0x0033..0D43,3,3.0,208604290049211105280,0.9982,0.9982,0.0018,0.0,0.0019,,
102625039,0x0033..0D43,3,3.0,4668388663785986457600,0.9976,0.9976,0.0024,0.0,0.0026,,
102625041,WBNB/USDT,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625070,0xAFB7..ea3b,4,4.0,60401472108514426880,0.9937,0.9937,0.0063,0.0,0.0064,,
102625115,0xc1d0..ea6d,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625118,0x0033..0D43,3,3.0,17099965339774524282269385883648,0.9556,0.9556,0.0444,0.0,0.0448,,
102625124,0xAFB7..ea3b,4,4.0,20224627497103790780827782086656,0.9679,0.9679,0.0321,0.0,0.0319,,
102625127,0x0033..0D43,3,3.0,99960624864602292224,0.9882,0.9882,0.0118,0.0,0.0124,,
102625153,0xc1d0..ea6d,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625198,0xAFB7..ea3b,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625207,0x651A..85FF,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625207,0x0496..2D27,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625208,0xbC42..Efa5,3,6.0,1308368059837159231991771796865024,0.6663,0.6663,0.3337,0.0,0.0059,,
102625235,WBNB/USDT,3,5.0,23153662231619674112,0.7911,0.7911,0.2089,0.0,0.2089,,
102625244,WBNB/USDT,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625281,0x1596..9fAd,4,14.0,110389237452773980855598818787328,0.5,0.5,0.5,0.0,0.6481,,
102625281,0x4afe..ED8d,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625310,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625315,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625328,0xd504..2D42,5,10.0,1,0.0,0.0,0.0,0.0,0.0,,
102625333,0xd504..2D42,5,5.0,52166760000000006029312,1.0,1.0,0.0,0.0,0.0,,
102625357,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625403,0xc1d0..ea6d,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625419,0x0033..0D43,6,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625419,0xAFB7..ea3b,3,3.0,139214233031032683484134208700416,0.7964,0.7964,0.2036,0.0,0.2019,,
102625432,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625456,0xc1d0..ea6d,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625458,0xbC42..Efa5,3,6.0,487697655067509591753231435472830464,0.7633,0.7633,0.2367,0.0,0.3333,,
102625474,0xAFB7..ea3b,3,3.0,155478046690597339136,0.9895,0.9895,0.0105,0.0,0.0106,,
102625478,0xd504..2D42,5,10.0,2,0.5,0.5,0.0,0.0,0.0,,
102625480,0xAFB7..ea3b,3,3.0,116604926934046277632,0.9978,0.9978,0.0022,0.0,0.0023,,
102625487,0xd504..2D42,5,5.0,915502537799649792,0.9916,0.9916,0.0084,0.0,0.2632,,
102625490,0x47a9..10c4,3,5.0,83631028791410000134144,1.0,1.0,0.0,0.0,0.0,,
102625501,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625510,0xAFB7..ea3b,3,3.0,9403199319703664640,0.8297,0.8297,0.1703,0.0,0.1711,,
102625516,0x22af..127C,3,7.0,2462261124182989910598503236699684864,1.0,1.0,0.0,0.0,0.3333,,
102625529,0xAFB7..ea3b,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625546,0xe494..0eAA,4,8.0,378624020000000008257536,0.75,0.75,0.25,0.0,0.25,,
102625578,0x5de4..4Ece,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102625580,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
