ts,processedBlocks,exPostNetPositive,alreadyCaptured,leftOnTable,captureRate,bracketCandidates,sameActorPass,corroboratePass,corrFailNotFlat,corrFailHubNeg,corrFailBelowDust,capturedOurNetWei,capturedRealizedNetWei,leftNetWei,byBuilder,byRepeatedAddr,byUnknown
2026-06-06T00:00:10+02:00,13150,3804,0,3804,0.0,4999,499,0,481,6,12,0,0,188575242943488337854,0,0,0
2026-06-06T00:00:34+02:00,13200,3827,0,3827,0.0,5016,503,0,485,6,12,0,0,189706362707638922837,0,0,0
2026-06-06T00:00:55+02:00,13250,3841,0,3841,0.0,5031,504,0,486,6,12,0,0,190305604725742737746,0,0,0
2026-06-06T00:01:24+02:00,13300,3855,0,3855,0.0,5048,506,0,488,6,12,0,0,191817207967060033000,0,0,0
2026-06-06T00:01:44+02:00,13350,3865,0,3865,0.0,5062,507,0,489,6,12,0,0,192427991806417727431,0,0,0
2026-06-06T00:02:19+02:00,13400,3892,0,3892,0.0,5104,508,0,490,6,12,0,0,193415627387662827549,0,0,0
2026-06-06T00:02:37+02:00,13450,3911,0,3911,0.0,5112,509,0,491,6,12,0,0,194031286978390579852,0,0,0
2026-06-06T00:03:09+02:00,13500,3936,0,3936,0.0,5193,520,0,502,6,12,0,0,194297779376874102432,0,0,0
2026-06-06T00:03:37+02:00,13550,3954,0,3954,0.0,5215,522,0,504,6,12,0,0,194812413248805831689,0,0,0
2026-06-06T00:04:14+02:00,13600,3969,0,3969,0.0,5269,524,0,506,6,12,0,0,195741541107318658430,0,0,0
2026-06-06T00:04:40+02:00,13650,3986,0,3986,0.0,5286,525,0,507,6,12,0,0,196376334505116617424,0,0,0
2026-06-06T00:05:19+02:00,13700,4013,0,4013,0.0,5302,528,0,510,6,12,0,0,197174190713510326598,0,0,0
2026-06-06T00:06:07+02:00,13750,4032,0,4032,0.0,5323,529,0,511,6,12,0,0,197629455697440366878,0,0,0
2026-06-06T00:07:18+02:00,13800,4039,0,4039,0.0,5356,533,0,515,6,12,0,0,197792945817451146096,0,0,0
2026-06-06T00:07:48+02:00,13850,4051,0,4051,0.0,5372,534,0,516,6,12,0,0,198537074691335591937,0,0,0
2026-06-06T00:08:14+02:00,13900,4071,0,4071,0.0,5393,537,0,519,6,12,0,0,199367577268355493054,0,0,0
2026-06-06T00:08:35+02:00,13950,4086,0,4086,0.0,5401,538,0,520,6,12,0,0,199910738197033881257,0,0,0
2026-06-06T00:09:06+02:00,14000,4103,0,4103,0.0,5411,539,0,521,6,12,0,0,200656658511956060629,0,0,0
2026-06-06T00:09:31+02:00,14050,4131,0,4131,0.0,5427,542,0,522,8,12,0,0,201470939467882617255,0,0,0
2026-06-06T00:09:52+02:00,14100,4153,0,4153,0.0,5435,544,0,524,8,12,0,0,202084795626738117479,0,0,0
2026-06-06T00:10:15+02:00,14150,4177,0,4177,0.0,5450,545,0,525,8,12,0,0,202876179092634409165,0,0,0
2026-06-06T00:10:35+02:00,14200,4191,0,4191,0.0,5467,546,0,526,8,12,0,0,203214842880405610932,0,0,0
2026-06-06T00:10:56+02:00,14250,4199,0,4199,0.0,5479,548,0,528,8,12,0,0,203806183653770858145,0,0,0
2026-06-06T00:11:28+02:00,14300,4212,0,4212,0.0,5506,549,0,529,8,12,0,0,204240959447581279009,0,0,0
2026-06-06T00:11:49+02:00,14350,4223,0,4223,0.0,5526,550,0,530,8,12,0,0,204450618308971550126,0,0,0
2026-06-06T00:12:17+02:00,14400,4231,0,4231,0.0,5570,556,0,536,8,12,0,0,204716701564255074087,0,0,0
2026-06-06T00:12:45+02:00,14450,4240,0,4240,0.0,5607,556,0,536,8,12,0,0,210080067259470741709,0,0,0
2026-06-06T00:13:05+02:00,14500,4249,0,4249,0.0,5619,558,0,538,8,12,0,0,210527439509325499930,0,0,0
2026-06-06T00:13:30+02:00,14550,4255,0,4255,0.0,5637,563,0,543,8,12,0,0,211024142089043112370,0,0,0
2026-06-06T00:13:48+02:00,14600,4265,0,4265,0.0,5665,565,0,545,8,12,0,0,211746715158588229374,0,0,0
2026-06-06T00:14:12+02:00,14650,4283,0,4283,0.0,5692,566,0,546,8,12,0,0,212083239586909300598,0,0,0
